png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/nutricion/ultraprocesados/acrilamida.png,/recorrido/nutricion/ultraprocesados/acrilamida.webp,2326,83,1254x1254
/recorrido/nutricion/ultraprocesados/bpa-ftalatos.png,/recorrido/nutricion/ultraprocesados/bpa-ftalatos.webp,2232,72,1254x1254
/recorrido/nutricion/ultraprocesados/colorantes-azoicos.png,/recorrido/nutricion/ultraprocesados/colorantes-azoicos.webp,2322,87,1254x1254
/recorrido/nutricion/ultraprocesados/dioxido-titanio.png,/recorrido/nutricion/ultraprocesados/dioxido-titanio.webp,2358,79,1254x1254
/recorrido/nutricion/ultraprocesados/edulcorantes.png,/recorrido/nutricion/ultraprocesados/edulcorantes.webp,2244,86,1254x1254
/recorrido/nutricion/ultraprocesados/emulgentes.png,/recorrido/nutricion/ultraprocesados/emulgentes.webp,2230,80,1254x1254
/recorrido/nutricion/ultraprocesados/fosfatos.png,/recorrido/nutricion/ultraprocesados/fosfatos.webp,2349,82,1254x1254
/recorrido/nutricion/ultraprocesados/grasas-trans.png,/recorrido/nutricion/ultraprocesados/grasas-trans.webp,2359,74,1254x1254
/recorrido/nutricion/ultraprocesados/nitritos.png,/recorrido/nutricion/ultraprocesados/nitritos.webp,2328,79,1254x1254
