png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/tcm/taoismo/bu-zheng.png,/recorrido/tcm/taoismo/bu-zheng.webp,2164,54,1254x1254
/recorrido/tcm/taoismo/de.png,/recorrido/tcm/taoismo/de.webp,3134,269,1254x1254
/recorrido/tcm/taoismo/fan.png,/recorrido/tcm/taoismo/fan.webp,2968,211,1254x1254
/recorrido/tcm/taoismo/pu.png,/recorrido/tcm/taoismo/pu.webp,2698,147,1254x1254
/recorrido/tcm/taoismo/qi.png,/recorrido/tcm/taoismo/qi.webp,2444,91,1254x1254
/recorrido/tcm/taoismo/tao.png,/recorrido/tcm/taoismo/tao.webp,2951,190,1254x1254
/recorrido/tcm/taoismo/wu-wei.png,/recorrido/tcm/taoismo/wu-wei.webp,2790,139,1254x1254
/recorrido/tcm/taoismo/xu.png,/recorrido/tcm/taoismo/xu.webp,2409,89,1254x1254
/recorrido/tcm/taoismo/yin-yang.png,/recorrido/tcm/taoismo/yin-yang.webp,2838,170,1254x1254
/recorrido/tcm/taoismo/ziran.png,/recorrido/tcm/taoismo/ziran.webp,3054,238,1254x1254
