png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/cultura/historiaciencia/como-se-sabe.png,/recorrido/cultura/historiaciencia/como-se-sabe.webp,3153,258,1254x1254
/recorrido/cultura/historiaciencia/eras/antes-ciencia.png,/recorrido/cultura/historiaciencia/eras/antes-ciencia.webp,3130,266,1254x1254
/recorrido/cultura/historiaciencia/eras/ciencia-mundo.png,/recorrido/cultura/historiaciencia/eras/ciencia-mundo.webp,3256,285,1254x1254
/recorrido/cultura/historiaciencia/eras/descifrar-vida.png,/recorrido/cultura/historiaciencia/eras/descifrar-vida.webp,3228,276,1254x1254
/recorrido/cultura/historiaciencia/eras/era-informacion.png,/recorrido/cultura/historiaciencia/eras/era-informacion.webp,3283,302,1254x1254
/recorrido/cultura/historiaciencia/eras/fisica-moderna.png,/recorrido/cultura/historiaciencia/eras/fisica-moderna.webp,3210,276,1254x1254
/recorrido/cultura/historiaciencia/eras/grecia-ciencia.png,/recorrido/cultura/historiaciencia/eras/grecia-ciencia.webp,3047,248,1254x1254
/recorrido/cultura/historiaciencia/eras/ilustracion-ciencia.png,/recorrido/cultura/historiaciencia/eras/ilustracion-ciencia.webp,3271,292,1254x1254
/recorrido/cultura/historiaciencia/eras/prologo.png,/recorrido/cultura/historiaciencia/eras/prologo.webp,3265,300,1254x1254
/recorrido/cultura/historiaciencia/eras/revolucion-cientifica.png,/recorrido/cultura/historiaciencia/eras/revolucion-cientifica.webp,3234,290,1254x1254
/recorrido/cultura/historiaciencia/eras/siglo-xix.png,/recorrido/cultura/historiaciencia/eras/siglo-xix.webp,3190,283,1254x1254
/recorrido/cultura/historiaciencia/que-es-ciencia.png,/recorrido/cultura/historiaciencia/que-es-ciencia.webp,3152,258,1254x1254
