png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/viñetas/nutricion/diabetes/diabetes1.png,/viñetas/nutricion/diabetes/diabetes1.webp,2499,96,1254x1254
/viñetas/nutricion/diabetes/diabetes2.png,/viñetas/nutricion/diabetes/diabetes2.webp,2314,76,1254x1254
/viñetas/nutricion/diabetes/diabetes3.png,/viñetas/nutricion/diabetes/diabetes3.webp,2592,103,1254x1254
/recorrido/nutricion/mitos/alimentosecologicos.png,/recorrido/nutricion/mitos/alimentosecologicos.webp,2777,155,1254x1254
/recorrido/nutricion/mitos/cafemalo.png,/recorrido/nutricion/mitos/cafemalo.webp,2655,124,1254x1254
/recorrido/nutricion/mitos/caloriasiguales.png,/recorrido/nutricion/mitos/caloriasiguales.webp,2790,152,1254x1254
/recorrido/nutricion/mitos/cenartarde.png,/recorrido/nutricion/mitos/cenartarde.webp,2919,181,1254x1254
/recorrido/nutricion/mitos/comernoche.png,/recorrido/nutricion/mitos/comernoche.webp,2957,181,1254x1254
/recorrido/nutricion/mitos/cuantocafe.png,/recorrido/nutricion/mitos/cuantocafe.webp,2886,165,1254x1254
/recorrido/nutricion/mitos/probioticos.png,/recorrido/nutricion/mitos/probioticos.webp,2813,151,1254x1254
/recorrido/nutricion/mitos/recuperarpeso.png,/recorrido/nutricion/mitos/recuperarpeso.webp,2669,140,1254x1254
