png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/viñetas/astrologia/aspectos/conjuncion.png,/viñetas/astrologia/aspectos/conjuncion.webp,2839,173,1254x1254
/viñetas/astrologia/aspectos/cuadratura.png,/viñetas/astrologia/aspectos/cuadratura.webp,2600,125,1254x1254
/viñetas/astrologia/aspectos/oposicion.png,/viñetas/astrologia/aspectos/oposicion.webp,2597,115,1254x1254
/viñetas/astrologia/aspectos/quincuncio.png,/viñetas/astrologia/aspectos/quincuncio.webp,2516,114,1254x1254
/viñetas/astrologia/aspectos/sextil.png,/viñetas/astrologia/aspectos/sextil.webp,2610,125,1254x1254
/viñetas/astrologia/aspectos/trigono.png,/viñetas/astrologia/aspectos/trigono.webp,2583,139,1254x1254
