png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/viñetas/cabala/historia/cabalahistoria1.png,/viñetas/cabala/historia/cabalahistoria1.webp,2386,169,1122x1122
/viñetas/cabala/historia/cabalahistoria10.png,/viñetas/cabala/historia/cabalahistoria10.webp,2292,121,1254x1254
/viñetas/cabala/historia/cabalahistoria2.png,/viñetas/cabala/historia/cabalahistoria2.webp,2882,215,1254x1254
/viñetas/cabala/historia/cabalahistoria3.png,/viñetas/cabala/historia/cabalahistoria3.webp,2853,193,1254x1254
/viñetas/cabala/historia/cabalahistoria4.png,/viñetas/cabala/historia/cabalahistoria4.webp,2567,150,1254x1254
/viñetas/cabala/historia/cabalahistoria5.png,/viñetas/cabala/historia/cabalahistoria5.webp,2731,189,1254x1254
/viñetas/cabala/historia/cabalahistoria6.png,/viñetas/cabala/historia/cabalahistoria6.webp,2641,174,1254x1254
/viñetas/cabala/historia/cabalahistoria7.png,/viñetas/cabala/historia/cabalahistoria7.webp,2543,153,1254x1254
/viñetas/cabala/historia/cabalahistoria8.png,/viñetas/cabala/historia/cabalahistoria8.webp,2326,112,1254x1254
/viñetas/cabala/historia/cabalahistoria9.png,/viñetas/cabala/historia/cabalahistoria9.webp,2521,143,1254x1254
