png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/viñetas/fisiologia/cancer/cancer1.png,/viñetas/fisiologia/cancer/cancer1.webp,3400,313,1254x1254
/viñetas/fisiologia/cancer/cancer2.png,/viñetas/fisiologia/cancer/cancer2.webp,3198,262,1254x1254
/viñetas/fisiologia/cancer/cancer3.png,/viñetas/fisiologia/cancer/cancer3.webp,3380,305,1254x1254
/viñetas/fisiologia/cancer/cancer4.png,/viñetas/fisiologia/cancer/cancer4.webp,3435,330,1254x1254
/viñetas/fisiologia/cancer/cancer5.png,/viñetas/fisiologia/cancer/cancer5.webp,3336,304,1254x1254
/viñetas/fisiologia/cancer/cancer6.png,/viñetas/fisiologia/cancer/cancer6.webp,3512,345,1254x1254
