png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/viñetas/hinduismo/pranayama/pranayama1.png,/viñetas/hinduismo/pranayama/pranayama1.webp,2991,191,1254x1254
/viñetas/hinduismo/pranayama/pranayama2.png,/viñetas/hinduismo/pranayama/pranayama2.webp,2859,146,1254x1254
/viñetas/hinduismo/pranayama/pranayama3.png,/viñetas/hinduismo/pranayama/pranayama3.webp,2817,138,1254x1254
/viñetas/psicologia/sintesis/sintesis1.png,/viñetas/psicologia/sintesis/sintesis1.webp,2795,182,1254x1254
/viñetas/psicologia/sintesis/sintesis2.png,/viñetas/psicologia/sintesis/sintesis2.webp,2871,175,1254x1254
