png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/nutricion/mitos/alcohol-calorias.png,/recorrido/nutricion/mitos/alcohol-calorias.webp,2980,193,1254x1254
/recorrido/nutricion/mitos/alimentosdesintoxican.png,/recorrido/nutricion/mitos/alimentosdesintoxican.webp,2969,190,1254x1254
/recorrido/nutricion/mitos/arrozfuera.png,/recorrido/nutricion/mitos/arrozfuera.webp,2801,166,1254x1254
/recorrido/nutricion/mitos/bebidasenergeticas.png,/recorrido/nutricion/mitos/bebidasenergeticas.webp,2994,188,1254x1254
/recorrido/nutricion/mitos/canela.png,/recorrido/nutricion/mitos/canela.webp,2891,171,1254x1254
/recorrido/nutricion/mitos/chocolatenegro.png,/recorrido/nutricion/mitos/chocolatenegro.webp,3156,215,1254x1254
/recorrido/nutricion/mitos/colesterolalimentos.png,/recorrido/nutricion/mitos/colesterolalimentos.webp,2767,147,1254x1254
/recorrido/nutricion/mitos/comerpoco.png,/recorrido/nutricion/mitos/comerpoco.webp,2771,144,1254x1254
/recorrido/nutricion/mitos/comerrapido.png,/recorrido/nutricion/mitos/comerrapido.webp,2720,135,1254x1254
/recorrido/nutricion/mitos/frutaantescomidas.png,/recorrido/nutricion/mitos/frutaantescomidas.webp,2462,103,1254x1254
/recorrido/nutricion/mitos/frutaengorda.png,/recorrido/nutricion/mitos/frutaengorda.webp,2605,117,1254x1254
/recorrido/nutricion/mitos/frutanoche.png,/recorrido/nutricion/mitos/frutanoche.webp,3084,225,1254x1254
/recorrido/nutricion/mitos/malorecalentar.png,/recorrido/nutricion/mitos/malorecalentar.webp,2802,166,1254x1254
/recorrido/nutricion/mitos/microondas.png,/recorrido/nutricion/mitos/microondas.webp,2802,166,1254x1254
/recorrido/nutricion/mitos/singluten.png,/recorrido/nutricion/mitos/singluten.webp,2849,167,1254x1254
/recorrido/nutricion/mitos/sueñodespuescomer.png,/recorrido/nutricion/mitos/sueñodespuescomer.webp,2812,148,1254x1254
/recorrido/nutricion/mitos/verdurascongeladas.png,/recorrido/nutricion/mitos/verdurascongeladas.webp,3147,244,1254x1254
/recorrido/nutricion/mitos/verduraspierdennutrientes.png,/recorrido/nutricion/mitos/verduraspierdennutrientes.webp,2951,204,1254x1254
/recorrido/nutricion/mitos/zumovsfruta.png,/recorrido/nutricion/mitos/zumovsfruta.webp,2819,170,1254x1254
/viñetas/nutricion/diabetes/diabetes4.png,/viñetas/nutricion/diabetes/diabetes4.webp,2489,91,1254x1254
