png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/tcm/agua/agua6.png,/recorrido/tcm/agua/agua6.webp,2942,184,1254x1254
/recorrido/tcm/cincoanimales/ciervo.png,/recorrido/tcm/cincoanimales/ciervo.webp,2895,213,1254x1254
/recorrido/tcm/cincoanimales/grulla.png,/recorrido/tcm/cincoanimales/grulla.webp,2951,216,1254x1254
/recorrido/tcm/cincoanimales/mono.png,/recorrido/tcm/cincoanimales/mono.webp,2851,179,1254x1254
/recorrido/tcm/cincoanimales/oso.png,/recorrido/tcm/cincoanimales/oso.webp,2886,196,1254x1254
/recorrido/tcm/cincoanimales/tigre.png,/recorrido/tcm/cincoanimales/tigre.webp,2942,210,1254x1254
/recorrido/tcm/fuego/fuego1.png,/recorrido/tcm/fuego/fuego1.webp,2623,131,1254x1254
/recorrido/tcm/fuego/fuego2.png,/recorrido/tcm/fuego/fuego2.webp,2845,179,1254x1254
/recorrido/tcm/fuego/fuego3.png,/recorrido/tcm/fuego/fuego3.webp,2729,153,1254x1254
/recorrido/tcm/fuego/fuego4.png,/recorrido/tcm/fuego/fuego4.webp,2492,111,1254x1254
/recorrido/tcm/fuego/fuego5.png,/recorrido/tcm/fuego/fuego5.webp,2979,215,1254x1254
/recorrido/tcm/fuego/fuego6.png,/recorrido/tcm/fuego/fuego6.webp,2563,118,1254x1254
/recorrido/tcm/lengua/forma-marcas.png,/recorrido/tcm/lengua/forma-marcas.webp,2355,61,1254x1254
/recorrido/tcm/lengua/mov-rigida.png,/recorrido/tcm/lengua/mov-rigida.webp,2273,50,1254x1254
/recorrido/tcm/lengua/mov-temblorosa.png,/recorrido/tcm/lengua/mov-temblorosa.webp,2331,53,1254x1254
/recorrido/tcm/lengua/saburra-blanca-gruesa.png,/recorrido/tcm/lengua/saburra-blanca-gruesa.webp,2437,64,1254x1254
/recorrido/tcm/lengua/saburra-normal.png,/recorrido/tcm/lengua/saburra-normal.webp,2349,62,1254x1254
/recorrido/tcm/madera/madera1.png,/recorrido/tcm/madera/madera1.webp,2674,144,1254x1254
/recorrido/tcm/madera/madera2.png,/recorrido/tcm/madera/madera2.webp,2575,129,1254x1254
/recorrido/tcm/madera/madera3.png,/recorrido/tcm/madera/madera3.webp,2586,136,1254x1254
/recorrido/tcm/madera/madera4.png,/recorrido/tcm/madera/madera4.webp,2761,142,1254x1254
/recorrido/tcm/madera/madera5.png,/recorrido/tcm/madera/madera5.webp,2788,150,1254x1254
/recorrido/tcm/metal/metal1.png,/recorrido/tcm/metal/metal1.webp,2730,126,1254x1254
/recorrido/tcm/metal/metal2.png,/recorrido/tcm/metal/metal2.webp,2534,101,1254x1254
/recorrido/tcm/metal/metal3.png,/recorrido/tcm/metal/metal3.webp,2560,101,1254x1254
/recorrido/tcm/metal/metal4.png,/recorrido/tcm/metal/metal4.webp,2837,152,1254x1254
/recorrido/tcm/metal/metal5.png,/recorrido/tcm/metal/metal5.webp,2637,104,1254x1254
/recorrido/tcm/tierra/tierra1.png,/recorrido/tcm/tierra/tierra1.webp,2742,150,1254x1254
/recorrido/tcm/tierra/tierra2.png,/recorrido/tcm/tierra/tierra2.webp,2624,131,1254x1254
/viñetas/astrologia/astro/mapa11.png,/viñetas/astrologia/astro/mapa11.webp,2328,141,1254x1254
