png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/cultura/historiaciencia/aristoteles-ciencia.png,/recorrido/cultura/historiaciencia/aristoteles-ciencia.webp,3202,263,1254x1254
/recorrido/cultura/historiaciencia/arquimedes.png,/recorrido/cultura/historiaciencia/arquimedes.webp,3116,259,1254x1254
/recorrido/cultura/historiaciencia/eratostenes.png,/recorrido/cultura/historiaciencia/eratostenes.webp,2978,221,1254x1254
/recorrido/cultura/historiaciencia/euclides.png,/recorrido/cultura/historiaciencia/euclides.webp,3033,230,1254x1254
/recorrido/cultura/historiaciencia/fuego-herramientas.png,/recorrido/cultura/historiaciencia/fuego-herramientas.webp,3203,270,1254x1254
/recorrido/cultura/historiaciencia/pitagoras-numeros.png,/recorrido/cultura/historiaciencia/pitagoras-numeros.webp,3121,247,1254x1254
/recorrido/cultura/historiaciencia/tales-presocraticos.png,/recorrido/cultura/historiaciencia/tales-presocraticos.webp,3093,240,1254x1254
