png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/cultura/historiaciencia/academias-enciclopedia.png,/recorrido/cultura/historiaciencia/academias-enciclopedia.webp,3124,253,1254x1254
/recorrido/cultura/historiaciencia/adn.png,/recorrido/cultura/historiaciencia/adn.webp,3247,253,1254x1254
/recorrido/cultura/historiaciencia/al-juarismi.png,/recorrido/cultura/historiaciencia/al-juarismi.webp,3151,259,1254x1254
/recorrido/cultura/historiaciencia/alhacen.png,/recorrido/cultura/historiaciencia/alhacen.webp,3184,266,1254x1254
/recorrido/cultura/historiaciencia/big-bang.png,/recorrido/cultura/historiaciencia/big-bang.webp,3010,220,1254x1254
/recorrido/cultura/historiaciencia/cero-india.png,/recorrido/cultura/historiaciencia/cero-india.webp,3118,260,1254x1254
/recorrido/cultura/historiaciencia/china-inventos.png,/recorrido/cultura/historiaciencia/china-inventos.webp,3299,296,1254x1254
/recorrido/cultura/historiaciencia/copernico.png,/recorrido/cultura/historiaciencia/copernico.webp,3079,240,1254x1254
/recorrido/cultura/historiaciencia/cuantica.png,/recorrido/cultura/historiaciencia/cuantica.webp,3208,264,1254x1254
/recorrido/cultura/historiaciencia/curie.png,/recorrido/cultura/historiaciencia/curie.webp,3082,240,1254x1254
/recorrido/cultura/historiaciencia/darwin.png,/recorrido/cultura/historiaciencia/darwin.webp,3084,235,1254x1254
/recorrido/cultura/historiaciencia/edad-de-la-tierra.png,/recorrido/cultura/historiaciencia/edad-de-la-tierra.webp,3025,234,1254x1254
/recorrido/cultura/historiaciencia/einstein.png,/recorrido/cultura/historiaciencia/einstein.webp,3127,237,1254x1254
/recorrido/cultura/historiaciencia/franklin-electricidad.png,/recorrido/cultura/historiaciencia/franklin-electricidad.webp,3059,226,1254x1254
/recorrido/cultura/historiaciencia/galileo.png,/recorrido/cultura/historiaciencia/galileo.webp,3166,263,1254x1254
/recorrido/cultura/historiaciencia/kepler.png,/recorrido/cultura/historiaciencia/kepler.webp,3166,275,1254x1254
/recorrido/cultura/historiaciencia/lavoisier.png,/recorrido/cultura/historiaciencia/lavoisier.webp,3182,263,1254x1254
/recorrido/cultura/historiaciencia/linneo.png,/recorrido/cultura/historiaciencia/linneo.webp,3203,265,1254x1254
/recorrido/cultura/historiaciencia/maxwell.png,/recorrido/cultura/historiaciencia/maxwell.webp,3069,236,1254x1254
/recorrido/cultura/historiaciencia/mendel.png,/recorrido/cultura/historiaciencia/mendel.webp,3255,269,1254x1254
/recorrido/cultura/historiaciencia/mendeleyev.png,/recorrido/cultura/historiaciencia/mendeleyev.webp,2959,213,1254x1254
/recorrido/cultura/historiaciencia/nace-metodo.png,/recorrido/cultura/historiaciencia/nace-metodo.webp,3114,265,1254x1254
/recorrido/cultura/historiaciencia/newton.png,/recorrido/cultura/historiaciencia/newton.webp,3127,263,1254x1254
/recorrido/cultura/historiaciencia/saber-no-se-pierde.png,/recorrido/cultura/historiaciencia/saber-no-se-pierde.webp,3228,281,1254x1254
/recorrido/cultura/historiaciencia/tectonica-placas.png,/recorrido/cultura/historiaciencia/tectonica-placas.webp,3282,276,1254x1254
/recorrido/cultura/historiaciencia/teoria-celular.png,/recorrido/cultura/historiaciencia/teoria-celular.webp,3061,221,1254x1254
/recorrido/cultura/historiaciencia/termodinamica.png,/recorrido/cultura/historiaciencia/termodinamica.webp,3300,287,1254x1254
