png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/cabala/sefirot/bina.png,/recorrido/cabala/sefirot/bina.webp,3136,672,1254x1254
/recorrido/cabala/sefirot/daat.png,/recorrido/cabala/sefirot/daat.webp,3153,674,1254x1254
/recorrido/cabala/sefirot/guevura.png,/recorrido/cabala/sefirot/guevura.webp,3062,660,1254x1254
/recorrido/cabala/sefirot/hod.png,/recorrido/cabala/sefirot/hod.webp,2815,545,1122x1122
/recorrido/cabala/sefirot/jesed.png,/recorrido/cabala/sefirot/jesed.webp,2746,506,1122x1122
/recorrido/cabala/sefirot/jojma.png,/recorrido/cabala/sefirot/jojma.webp,3105,640,1254x1254
/recorrido/cabala/sefirot/keter.png,/recorrido/cabala/sefirot/keter.webp,1622,224,988x988
/recorrido/cabala/sefirot/netsaj.png,/recorrido/cabala/sefirot/netsaj.webp,2768,518,1122x1122
/recorrido/cabala/sefirot/tiferet.png,/recorrido/cabala/sefirot/tiferet.webp,3265,723,1254x1254
/recorrido/cabala/sefirot/yesod.png,/recorrido/cabala/sefirot/yesod.webp,3057,670,1254x1254
/recorrido/cabala/senderos/aleph.png,/recorrido/cabala/senderos/aleph.webp,2814,550,1122x1122
/recorrido/cabala/senderos/ayin.png,/recorrido/cabala/senderos/ayin.webp,3226,698,1254x1254
/recorrido/cabala/senderos/beth.png,/recorrido/cabala/senderos/beth.webp,2275,409,1043x1043
/recorrido/cabala/senderos/chet.png,/recorrido/cabala/senderos/chet.webp,3064,655,1254x1254
/recorrido/cabala/senderos/daleth.png,/recorrido/cabala/senderos/daleth.webp,3194,702,1254x1254
/recorrido/cabala/senderos/gimel.png,/recorrido/cabala/senderos/gimel.webp,3029,660,1254x1254
/recorrido/cabala/senderos/he.png,/recorrido/cabala/senderos/he.webp,3020,650,1254x1254
/recorrido/cabala/senderos/kaf.png,/recorrido/cabala/senderos/kaf.webp,3063,654,1254x1254
/recorrido/cabala/senderos/lamed.png,/recorrido/cabala/senderos/lamed.webp,3198,702,1254x1254
/recorrido/cabala/senderos/mem.png,/recorrido/cabala/senderos/mem.webp,3212,700,1254x1254
/recorrido/cabala/senderos/nun.png,/recorrido/cabala/senderos/nun.webp,3092,672,1254x1254
/recorrido/cabala/senderos/pe.png,/recorrido/cabala/senderos/pe.webp,3208,705,1254x1254
/recorrido/cabala/senderos/qof.png,/recorrido/cabala/senderos/qof.webp,2824,561,1122x1122
/recorrido/cabala/senderos/resh.png,/recorrido/cabala/senderos/resh.webp,2748,526,1122x1122
/recorrido/cabala/senderos/samekh.png,/recorrido/cabala/senderos/samekh.webp,351,363,1122x1122
/recorrido/cabala/senderos/shin.png,/recorrido/cabala/senderos/shin.webp,2599,474,1122x1122
/recorrido/cabala/senderos/tav.png,/recorrido/cabala/senderos/tav.webp,382,395,1122x1122
/recorrido/cabala/senderos/tet.png,/recorrido/cabala/senderos/tet.webp,438,449,1254x1254
/recorrido/cabala/senderos/tsadi.png,/recorrido/cabala/senderos/tsadi.webp,351,360,1122x1122
/recorrido/cabala/senderos/vav.png,/recorrido/cabala/senderos/vav.webp,369,380,1254x1254
/recorrido/cabala/senderos/yod.png,/recorrido/cabala/senderos/yod.webp,2677,494,1122x1122
/recorrido/cabala/senderos/zayin.png,/recorrido/cabala/senderos/zayin.webp,2472,463,1088x1088
/viñetas/comicInicioSegunCiencia/inicio5.png,/viñetas/comicInicioSegunCiencia/inicio5.webp,2299,277,1254x1254
/viñetas/hinduismo/doshas/kapha.png,/viñetas/hinduismo/doshas/kapha.webp,2840,534,1254x1254
/viñetas/hinduismo/doshas/pitta.png,/viñetas/hinduismo/doshas/pitta.webp,2954,585,1254x1254
/viñetas/nutricion/agua/agua1.png,/viñetas/nutricion/agua/agua1.webp,2978,576,1254x1254
/viñetas/nutricion/agua/agua2.png,/viñetas/nutricion/agua/agua2.webp,2885,519,1254x1254
/viñetas/nutricion/agua/agua3.png,/viñetas/nutricion/agua/agua3.webp,3002,566,1254x1254
/viñetas/nutricion/agua/agua4.png,/viñetas/nutricion/agua/agua4.webp,3032,585,1254x1254
/viñetas/nutricion/fibra/fibra1.png,/viñetas/nutricion/fibra/fibra1.webp,3162,643,1254x1254
/viñetas/nutricion/fibra/fibra2.png,/viñetas/nutricion/fibra/fibra2.webp,3258,652,1254x1254
/viñetas/nutricion/fitoquimicos/fitoquimicos1.png,/viñetas/nutricion/fitoquimicos/fitoquimicos1.webp,2803,461,1254x1254
/viñetas/nutricion/fitoquimicos/fitoquimicos2.png,/viñetas/nutricion/fitoquimicos/fitoquimicos2.webp,3088,602,1254x1254
/viñetas/nutricion/fitoquimicos/fitoquimicos3.png,/viñetas/nutricion/fitoquimicos/fitoquimicos3.webp,3283,668,1254x1254
/viñetas/nutricion/fitoquimicos/fitoquimicos4.png,/viñetas/nutricion/fitoquimicos/fitoquimicos4.webp,3309,704,1254x1254
/viñetas/nutricion/grasas/grasas1.png,/viñetas/nutricion/grasas/grasas1.webp,2976,565,1254x1254
/viñetas/nutricion/grasas/grasas2.png,/viñetas/nutricion/grasas/grasas2.webp,2916,542,1254x1254
/viñetas/nutricion/grasas/grasas4.png,/viñetas/nutricion/grasas/grasas4.webp,3135,637,1254x1254
/viñetas/nutricion/integral/integral2.png,/viñetas/nutricion/integral/integral2.webp,2656,442,1254x1254
/viñetas/nutricion/integral/integral3.png,/viñetas/nutricion/integral/integral3.webp,2349,332,1254x1254
/viñetas/nutricion/integral/integral4.png,/viñetas/nutricion/integral/integral4.webp,2845,502,1254x1254
/viñetas/nutricion/minerales/minerales1.png,/viñetas/nutricion/minerales/minerales1.webp,2913,520,1254x1254
/viñetas/nutricion/minerales/minerales2.png,/viñetas/nutricion/minerales/minerales2.webp,3200,649,1254x1254
/viñetas/nutricion/minerales/minerales4.png,/viñetas/nutricion/minerales/minerales4.webp,3416,761,1254x1254
/viñetas/psicologia/ace/ace1.png,/viñetas/psicologia/ace/ace1.webp,2705,464,1254x1254
/viñetas/psicologia/ace/ace2.png,/viñetas/psicologia/ace/ace2.webp,3024,611,1254x1254
/viñetas/psicologia/ace/ace3.png,/viñetas/psicologia/ace/ace3.webp,2823,545,1254x1254
/viñetas/psicologia/ace/ace4.png,/viñetas/psicologia/ace/ace4.webp,2641,470,1254x1254
/viñetas/psicologia/lineatiempo/lineatiempo1.png,/viñetas/psicologia/lineatiempo/lineatiempo1.webp,2887,609,1254x1254
/viñetas/psicologia/lineatiempo/lineatiempo2.png,/viñetas/psicologia/lineatiempo/lineatiempo2.webp,3091,646,1254x1254
