png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/tcm/cocina/agua1.png,/recorrido/tcm/cocina/agua1.webp,2923,167,1254x1254
/recorrido/tcm/cocina/agua2.png,/recorrido/tcm/cocina/agua2.webp,3005,182,1254x1254
/recorrido/tcm/cocina/agua3.png,/recorrido/tcm/cocina/agua3.webp,3044,190,1254x1254
/recorrido/tcm/cocina/agua4.png,/recorrido/tcm/cocina/agua4.webp,3068,202,1254x1254
/recorrido/tcm/cocina/fuego1.png,/recorrido/tcm/cocina/fuego1.webp,2985,189,1254x1254
/recorrido/tcm/cocina/fuego2.png,/recorrido/tcm/cocina/fuego2.webp,3033,208,1254x1254
/recorrido/tcm/cocina/fuego3.png,/recorrido/tcm/cocina/fuego3.webp,3163,230,1254x1254
/recorrido/tcm/cocina/fuego4.png,/recorrido/tcm/cocina/fuego4.webp,2941,193,1254x1254
/recorrido/tcm/cocina/madera1.png,/recorrido/tcm/cocina/madera1.webp,3206,230,1254x1254
/recorrido/tcm/cocina/madera2.png,/recorrido/tcm/cocina/madera2.webp,3107,209,1254x1254
/recorrido/tcm/cocina/madera3.png,/recorrido/tcm/cocina/madera3.webp,3221,227,1254x1254
/recorrido/tcm/cocina/madera4.png,/recorrido/tcm/cocina/madera4.webp,3114,210,1254x1254
/recorrido/tcm/cocina/metal1.png,/recorrido/tcm/cocina/metal1.webp,2911,150,1254x1254
/recorrido/tcm/cocina/metal2.png,/recorrido/tcm/cocina/metal2.webp,2795,131,1254x1254
/recorrido/tcm/cocina/metal3.png,/recorrido/tcm/cocina/metal3.webp,2625,97,1254x1254
/recorrido/tcm/cocina/metal4.png,/recorrido/tcm/cocina/metal4.webp,2773,129,1254x1254
/recorrido/tcm/cocina/tierra1.png,/recorrido/tcm/cocina/tierra1.webp,3107,214,1254x1254
/recorrido/tcm/cocina/tierra2.png,/recorrido/tcm/cocina/tierra2.webp,3084,210,1254x1254
/recorrido/tcm/cocina/tierra3.png,/recorrido/tcm/cocina/tierra3.webp,3077,206,1254x1254
/recorrido/tcm/cocina/tierra4.png,/recorrido/tcm/cocina/tierra4.webp,3110,223,1254x1254
