png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/cabala/sefirot/malkhut.png,/recorrido/cabala/sefirot/malkhut.webp,466,184,1254x1254
/recorrido/cabala/sefirotfondo.png,/recorrido/cabala/sefirotfondo.webp,631,207,1254x1254
/recorrido/cultura/portadas/historiafilosofia.png,/recorrido/cultura/portadas/historiafilosofia.webp,3060,229,1254x1254
/recorrido/cultura/portadas/historiareligion.png,/recorrido/cultura/portadas/historiareligion.webp,3016,224,1254x1254
/recorrido/cultura/portadas/historiauniversal.png,/recorrido/cultura/portadas/historiauniversal.webp,2859,176,1254x1254
/recorrido/fisiologia/organos/anatomia.png,/recorrido/fisiologia/organos/anatomia.webp,254,76,1024x1536
/recorrido/fisiologia/organos/bazo.png,/recorrido/fisiologia/organos/bazo.webp,430,127,1254x1254
/recorrido/fisiologia/organos/cerebro.png,/recorrido/fisiologia/organos/cerebro.webp,504,153,1254x1254
/recorrido/fisiologia/organos/conectivo.png,/recorrido/fisiologia/organos/conectivo.webp,428,128,1183x1329
/recorrido/fisiologia/organos/corazon.png,/recorrido/fisiologia/organos/corazon.webp,545,180,1254x1254
/recorrido/fisiologia/organos/estomago.png,/recorrido/fisiologia/organos/estomago.webp,434,120,1254x1254
/recorrido/fisiologia/organos/grasa.png,/recorrido/fisiologia/organos/grasa.webp,362,110,1254x1254
/recorrido/fisiologia/organos/higado.png,/recorrido/fisiologia/organos/higado.webp,496,157,1254x1254
/recorrido/fisiologia/organos/huesos.png,/recorrido/fisiologia/organos/huesos.webp,388,101,1122x1402
/recorrido/fisiologia/organos/intestino.png,/recorrido/fisiologia/organos/intestino.webp,463,138,1254x1254
/recorrido/fisiologia/organos/lengua.png,/recorrido/fisiologia/organos/lengua.webp,427,125,1254x1254
/recorrido/fisiologia/organos/musculo.png,/recorrido/fisiologia/organos/musculo.webp,576,208,1254x1254
/recorrido/fisiologia/organos/pancreas.png,/recorrido/fisiologia/organos/pancreas.webp,414,115,1254x1254
/recorrido/fisiologia/organos/piel.png,/recorrido/fisiologia/organos/piel.webp,415,126,1254x1254
/recorrido/fisiologia/organos/pulmones.png,/recorrido/fisiologia/organos/pulmones.webp,551,186,1254x1254
/recorrido/fisiologia/organos/rinones.png,/recorrido/fisiologia/organos/rinones.webp,481,148,1254x1254
/recorrido/fisiologia/organos/sangre.png,/recorrido/fisiologia/organos/sangre.webp,463,141,1254x1254
/recorrido/fisiologia/organos/tiroides.png,/recorrido/fisiologia/organos/tiroides.webp,498,153,1254x1254
/recorrido/fisiologia/organos/vesiculabiliar.png,/recorrido/fisiologia/organos/vesiculabiliar.webp,393,106,1254x1254
/recorrido/fisiologia/profundiza/apoptosis/apoptosis1.png,/recorrido/fisiologia/profundiza/apoptosis/apoptosis1.webp,3561,348,1254x1254
/recorrido/fisiologia/profundiza/apoptosis/apoptosis2.png,/recorrido/fisiologia/profundiza/apoptosis/apoptosis2.webp,3365,309,1254x1254
/recorrido/fisiologia/profundiza/apoptosis/apoptosis3.png,/recorrido/fisiologia/profundiza/apoptosis/apoptosis3.webp,579,195,1254x1254
/recorrido/fisiologia/profundiza/apoptosis/apoptosis4.png,/recorrido/fisiologia/profundiza/apoptosis/apoptosis4.webp,3441,326,1254x1254
/recorrido/fisiologia/profundiza/cerebro/amigdala.png,/recorrido/fisiologia/profundiza/cerebro/amigdala.webp,2643,132,1254x1254
/recorrido/fisiologia/profundiza/cerebro/cerebelo.png,/recorrido/fisiologia/profundiza/cerebro/cerebelo.webp,2726,148,1254x1254
/recorrido/fisiologia/profundiza/cerebro/cerebro.png,/recorrido/fisiologia/profundiza/cerebro/cerebro.webp,2765,143,1254x1254
/recorrido/fisiologia/profundiza/cerebro/corteza.png,/recorrido/fisiologia/profundiza/cerebro/corteza.webp,2609,116,1254x1254
/recorrido/fisiologia/profundiza/cerebro/cuerpo-calloso.png,/recorrido/fisiologia/profundiza/cerebro/cuerpo-calloso.webp,2347,76,1254x1254
/recorrido/fisiologia/profundiza/cerebro/ganglios-basales.png,/recorrido/fisiologia/profundiza/cerebro/ganglios-basales.webp,2567,120,1254x1254
/recorrido/fisiologia/profundiza/cerebro/hipocampo.png,/recorrido/fisiologia/profundiza/cerebro/hipocampo.webp,2509,117,1254x1254
/recorrido/fisiologia/profundiza/cerebro/hipofisis.png,/recorrido/fisiologia/profundiza/cerebro/hipofisis.webp,2624,135,1254x1254
/recorrido/fisiologia/profundiza/cerebro/hipotalamo.png,/recorrido/fisiologia/profundiza/cerebro/hipotalamo.webp,2527,113,1254x1254
/recorrido/fisiologia/profundiza/cerebro/occipital.png,/recorrido/fisiologia/profundiza/cerebro/occipital.webp,2674,131,1254x1254
/recorrido/fisiologia/profundiza/cerebro/parietal.png,/recorrido/fisiologia/profundiza/cerebro/parietal.webp,2862,168,1254x1254
/recorrido/fisiologia/profundiza/cerebro/talamo.png,/recorrido/fisiologia/profundiza/cerebro/talamo.webp,2449,98,1254x1254
/recorrido/fisiologia/profundiza/cerebro/temporal.png,/recorrido/fisiologia/profundiza/cerebro/temporal.webp,2749,146,1254x1254
/recorrido/fisiologia/profundiza/cerebro/tronco.png,/recorrido/fisiologia/profundiza/cerebro/tronco.webp,2629,129,1254x1254
/recorrido/fisiologia/profundiza/cetosis/cetosis1.png,/recorrido/fisiologia/profundiza/cetosis/cetosis1.webp,3220,273,1254x1254
/recorrido/fisiologia/profundiza/cetosis/cetosis2.png,/recorrido/fisiologia/profundiza/cetosis/cetosis2.webp,3166,257,1254x1254
/recorrido/fisiologia/profundiza/cetosis/cetosis3.png,/recorrido/fisiologia/profundiza/cetosis/cetosis3.webp,3394,297,1254x1254
/recorrido/fisiologia/profundiza/cetosis/cetosis4.png,/recorrido/fisiologia/profundiza/cetosis/cetosis4.webp,3483,336,1254x1254
/recorrido/fisiologia/profundiza/cetosis/cetosis5.png,/recorrido/fisiologia/profundiza/cetosis/cetosis5.webp,3301,268,1254x1254
