png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/fisiologia/profundiza/musculo/actina.png,/recorrido/fisiologia/profundiza/musculo/actina.webp,2363,82,1254x1254
/recorrido/fisiologia/profundiza/musculo/miosina.png,/recorrido/fisiologia/profundiza/musculo/miosina.webp,2535,116,1254x1254
/recorrido/fisiologia/profundiza/musculo/musculo.png,/recorrido/fisiologia/profundiza/musculo/musculo.webp,2836,180,1254x1254
/recorrido/fisiologia/profundiza/musculo/sarcomero.png,/recorrido/fisiologia/profundiza/musculo/sarcomero.webp,2700,170,1254x1254
/recorrido/fisiologia/profundiza/musculo/titina.png,/recorrido/fisiologia/profundiza/musculo/titina.webp,2899,184,1254x1254
/recorrido/fisiologia/profundiza/musculo/tubulos.png,/recorrido/fisiologia/profundiza/musculo/tubulos.webp,3046,232,1254x1254
