png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/cultura/historiageneral/alejandro-magno.png,/recorrido/cultura/historiageneral/alejandro-magno.webp,606,228,1254x1254
/recorrido/cultura/historiageneral/atentados-11s.png,/recorrido/cultura/historiageneral/atentados-11s.webp,671,247,1254x1254
/recorrido/cultura/historiageneral/avion.png,/recorrido/cultura/historiageneral/avion.webp,601,208,1254x1254
/recorrido/cultura/historiageneral/bipedismo.png,/recorrido/cultura/historiageneral/bipedismo.webp,568,195,1254x1254
/recorrido/cultura/historiageneral/bomba-atomica.png,/recorrido/cultura/historiageneral/bomba-atomica.webp,651,233,1254x1254
/recorrido/cultura/historiageneral/caida-constantinopla.png,/recorrido/cultura/historiageneral/caida-constantinopla.webp,634,229,1254x1254
/recorrido/cultura/historiageneral/caida-muro-berlin.png,/recorrido/cultura/historiageneral/caida-muro-berlin.webp,613,219,1254x1254
/recorrido/cultura/historiageneral/caida-roma-occidente.png,/recorrido/cultura/historiageneral/caida-roma-occidente.webp,522,191,1254x1254
/recorrido/cultura/historiageneral/carlomagno.png,/recorrido/cultura/historiageneral/carlomagno.webp,649,238,1254x1254
/recorrido/cultura/historiageneral/carrera-espacial.png,/recorrido/cultura/historiageneral/carrera-espacial.webp,649,245,1254x1254
/recorrido/cultura/historiageneral/cisma-oriente.png,/recorrido/cultura/historiageneral/cisma-oriente.webp,623,229,1254x1254
/recorrido/cultura/historiageneral/ciudades-estado.png,/recorrido/cultura/historiageneral/ciudades-estado.webp,631,228,1254x1254
/recorrido/cultura/historiageneral/codigo-hammurabi.png,/recorrido/cultura/historiageneral/codigo-hammurabi.webp,424,180,1122x1122
/recorrido/cultura/historiageneral/colonizacion-europea.png,/recorrido/cultura/historiageneral/colonizacion-europea.webp,644,239,1254x1254
/recorrido/cultura/historiageneral/comercio-atlantico.png,/recorrido/cultura/historiageneral/comercio-atlantico.webp,681,261,1254x1254
/recorrido/cultura/historiageneral/contrarreforma.png,/recorrido/cultura/historiageneral/contrarreforma.webp,638,232,1254x1254
/recorrido/cultura/historiageneral/covid-19.png,/recorrido/cultura/historiageneral/covid-19.webp,640,226,1254x1254
/recorrido/cultura/historiageneral/crisis-2008.png,/recorrido/cultura/historiageneral/crisis-2008.webp,665,248,1254x1254
/recorrido/cultura/historiageneral/cruzadas.png,/recorrido/cultura/historiageneral/cruzadas.webp,635,231,1254x1254
/recorrido/cultura/historiageneral/democracia-ateniense.png,/recorrido/cultura/historiageneral/democracia-ateniense.webp,483,179,1254x1254
/recorrido/cultura/historiageneral/descolonizacion.png,/recorrido/cultura/historiageneral/descolonizacion.webp,661,256,1254x1254
/recorrido/cultura/historiageneral/descubrimiento-america.png,/recorrido/cultura/historiageneral/descubrimiento-america.webp,620,230,1254x1254
/recorrido/cultura/historiageneral/dinastia-han.png,/recorrido/cultura/historiageneral/dinastia-han.webp,653,243,1254x1254
/recorrido/cultura/historiageneral/dinastia-tang.png,/recorrido/cultura/historiageneral/dinastia-tang.webp,612,223,1254x1254
/recorrido/cultura/historiageneral/disolucion-urss.png,/recorrido/cultura/historiageneral/disolucion-urss.webp,594,212,1254x1254
/recorrido/cultura/historiageneral/dominio-fuego.png,/recorrido/cultura/historiageneral/dominio-fuego.webp,405,125,1254x1254
/recorrido/cultura/historiageneral/electricidad.png,/recorrido/cultura/historiageneral/electricidad.webp,556,201,1254x1254
/recorrido/cultura/historiageneral/era-vikinga.png,/recorrido/cultura/historiageneral/era-vikinga.webp,629,220,1254x1254
/recorrido/cultura/historiageneral/eras/edad-antigua.png,/recorrido/cultura/historiageneral/eras/edad-antigua.webp,419,175,1170x1170
/recorrido/cultura/historiageneral/eras/edad-media.png,/recorrido/cultura/historiageneral/eras/edad-media.webp,476,185,1232x1232
/recorrido/cultura/historiageneral/eras/edad-moderna.png,/recorrido/cultura/historiageneral/eras/edad-moderna.webp,429,174,1172x1172
/recorrido/cultura/historiageneral/eras/era-digital.png,/recorrido/cultura/historiageneral/eras/era-digital.webp,474,184,1232x1232
/recorrido/cultura/historiageneral/eras/era-industrial.png,/recorrido/cultura/historiageneral/eras/era-industrial.webp,424,175,1172x1172
/recorrido/cultura/historiageneral/eras/prehistoria.png,/recorrido/cultura/historiageneral/eras/prehistoria.webp,440,160,1232x1232
/recorrido/cultura/historiageneral/expansion-africa.png,/recorrido/cultura/historiageneral/expansion-africa.webp,487,169,1254x1254
/recorrido/cultura/historiageneral/expansion-cristianismo.png,/recorrido/cultura/historiageneral/expansion-cristianismo.webp,593,212,1254x1254
/recorrido/cultura/historiageneral/expansion-islamica.png,/recorrido/cultura/historiageneral/expansion-islamica.webp,624,228,1254x1254
/recorrido/cultura/historiageneral/ferrocarril.png,/recorrido/cultura/historiageneral/ferrocarril.webp,637,243,1254x1254
/recorrido/cultura/historiageneral/feudalismo.png,/recorrido/cultura/historiageneral/feudalismo.webp,637,229,1254x1254
/recorrido/cultura/historiageneral/fundacion-onu.png,/recorrido/cultura/historiageneral/fundacion-onu.webp,615,218,1254x1254
/recorrido/cultura/historiageneral/fundacion-roma.png,/recorrido/cultura/historiageneral/fundacion-roma.webp,597,218,1254x1254
