png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/capturasRecorrido/astro/1.png,/capturasRecorrido/astro/1.webp,63,50,785x768
/capturasRecorrido/astro/10.png,/capturasRecorrido/astro/10.webp,69,56,901x682
/capturasRecorrido/astro/11.png,/capturasRecorrido/astro/11.webp,48,36,1017x458
/capturasRecorrido/astro/13.png,/capturasRecorrido/astro/13.webp,24,18,932x435
/capturasRecorrido/astro/14.png,/capturasRecorrido/astro/14.webp,75,60,1031x722
/capturasRecorrido/astro/15.png,/capturasRecorrido/astro/15.webp,72,55,1120x701
/capturasRecorrido/astro/16.png,/capturasRecorrido/astro/16.webp,130,99,1387x680
/capturasRecorrido/astro/18.png,/capturasRecorrido/astro/18.webp,202,73,1895x852
/capturasRecorrido/astro/19.png,/capturasRecorrido/astro/19.webp,125,93,1367x727
/capturasRecorrido/astro/2.png,/capturasRecorrido/astro/2.webp,111,88,896x727
/capturasRecorrido/astro/20.png,/capturasRecorrido/astro/20.webp,120,89,1312x717
/capturasRecorrido/astro/21.png,/capturasRecorrido/astro/21.webp,97,64,1243x706
/capturasRecorrido/astro/3.png,/capturasRecorrido/astro/3.webp,68,53,1032x697
/capturasRecorrido/astro/4.png,/capturasRecorrido/astro/4.webp,59,44,690x702
/capturasRecorrido/astro/5.png,/capturasRecorrido/astro/5.webp,64,50,900x698
/capturasRecorrido/astro/6.png,/capturasRecorrido/astro/6.webp,19,15,677x418
/capturasRecorrido/astro/7.png,/capturasRecorrido/astro/7.webp,65,52,906x702
/capturasRecorrido/astro/8.png,/capturasRecorrido/astro/8.webp,68,56,910x706
/capturasRecorrido/astro/9.png,/capturasRecorrido/astro/9.webp,15,12,727x281
/capturasRecorrido/astro/bienvenida.png,/capturasRecorrido/astro/bienvenida.webp,38,31,952x749
/capturasRecorrido/hinduismo/1.png,/capturasRecorrido/hinduismo/1.webp,43,34,922x720
/capturasRecorrido/hinduismo/10.png,/capturasRecorrido/hinduismo/10.webp,168,129,887x713
/capturasRecorrido/hinduismo/11.png,/capturasRecorrido/hinduismo/11.webp,173,135,876x752
/capturasRecorrido/hinduismo/12.png,/capturasRecorrido/hinduismo/12.webp,110,86,782x737
/capturasRecorrido/hinduismo/13.png,/capturasRecorrido/hinduismo/13.webp,114,88,993x508
/capturasRecorrido/hinduismo/14.png,/capturasRecorrido/hinduismo/14.webp,170,130,996x671
/capturasRecorrido/hinduismo/15.png,/capturasRecorrido/hinduismo/15.webp,168,127,988x677
/capturasRecorrido/hinduismo/16.png,/capturasRecorrido/hinduismo/16.webp,164,126,997x623
/capturasRecorrido/hinduismo/17.png,/capturasRecorrido/hinduismo/17.webp,112,86,852x707
/capturasRecorrido/hinduismo/18.png,/capturasRecorrido/hinduismo/18.webp,79,58,965x550
/capturasRecorrido/hinduismo/19.png,/capturasRecorrido/hinduismo/19.webp,78,61,881x802
/capturasRecorrido/hinduismo/2.png,/capturasRecorrido/hinduismo/2.webp,178,139,1144x710
/capturasRecorrido/hinduismo/20.png,/capturasRecorrido/hinduismo/20.webp,172,134,968x687
