png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/viñetas/hinduismo/vata/vata1.png,/viñetas/hinduismo/vata/vata1.webp,2484,99,1254x1254
/viñetas/hinduismo/vata/vata2.png,/viñetas/hinduismo/vata/vata2.webp,2594,94,1254x1254
/viñetas/hinduismo/vata/vata3.png,/viñetas/hinduismo/vata/vata3.webp,2565,115,1254x1254
/viñetas/hinduismo/vata/vata4.png,/viñetas/hinduismo/vata/vata4.webp,2556,139,1254x1254
/viñetas/hinduismo/pitta/pitta1.png,/viñetas/hinduismo/pitta/pitta1.webp,2848,124,1254x1254
/viñetas/hinduismo/pitta/pitta2.png,/viñetas/hinduismo/pitta/pitta2.webp,2859,160,1254x1254
/viñetas/hinduismo/pitta/pitta3.png,/viñetas/hinduismo/pitta/pitta3.webp,2754,145,1254x1254
/viñetas/hinduismo/pitta/pitta4.png,/viñetas/hinduismo/pitta/pitta4.webp,2784,125,1254x1254
/viñetas/hinduismo/kapha/kapha1.png,/viñetas/hinduismo/kapha/kapha1.webp,2823,162,1254x1254
/viñetas/hinduismo/kapha/kapha2.png,/viñetas/hinduismo/kapha/kapha2.webp,2874,176,1254x1254
/viñetas/hinduismo/kapha/kapha3.png,/viñetas/hinduismo/kapha/kapha3.webp,2812,140,1254x1254
/viñetas/hinduismo/kapha/kapha4.png,/viñetas/hinduismo/kapha/kapha4.webp,2671,99,1254x1254
