png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/nutricion/portadas/agua.png,/recorrido/nutricion/portadas/agua.webp,3246,265,1254x1254
/recorrido/nutricion/portadas/alcohol.png,/recorrido/nutricion/portadas/alcohol.webp,3140,244,1254x1254
/recorrido/nutricion/portadas/colesterolportada.png,/recorrido/nutricion/portadas/colesterolportada.webp,3189,257,1254x1254
/recorrido/nutricion/portadas/edulcorantes.png,/recorrido/nutricion/portadas/edulcorantes.webp,3062,226,1254x1254
/recorrido/nutricion/portadas/fibra.png,/recorrido/nutricion/portadas/fibra.webp,3107,240,1254x1254
/recorrido/nutricion/portadas/fitoquimico.png,/recorrido/nutricion/portadas/fitoquimico.webp,3194,265,1254x1254
/recorrido/nutricion/portadas/grasas.png,/recorrido/nutricion/portadas/grasas.webp,3057,242,1254x1254
/recorrido/nutricion/portadas/minerales.png,/recorrido/nutricion/portadas/minerales.webp,3339,296,1254x1254
/recorrido/nutricion/portadas/prote.png,/recorrido/nutricion/portadas/prote.webp,3190,254,1254x1254
/recorrido/nutricion/portadas/vitaminas.png,/recorrido/nutricion/portadas/vitaminas.webp,3132,252,1254x1254
