png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/viñetas/elMapa/comicinicioastro.png,/viñetas/elMapa/comicinicioastro.webp,2704,192,1254x1254
/viñetas/elMapa/comicinicioayurveda.png,/viñetas/elMapa/comicinicioayurveda.webp,2973,213,1254x1254
/viñetas/elMapa/comiciniciocabala.png,/viñetas/elMapa/comiciniciocabala.webp,2542,173,1122x1122
/viñetas/elMapa/comiciniciocultura.png,/viñetas/elMapa/comiciniciocultura.webp,3101,237,1254x1254
/viñetas/elMapa/comiciniciodescubrimiento.png,/viñetas/elMapa/comiciniciodescubrimiento.webp,3251,274,1254x1254
/viñetas/elMapa/comiciniciofinal.png,/viñetas/elMapa/comiciniciofinal.webp,3288,268,1254x1254
/viñetas/elMapa/comiciniciofisio.png,/viñetas/elMapa/comiciniciofisio.webp,2738,167,1254x1254
/viñetas/elMapa/comicinicioinicio.png,/viñetas/elMapa/comicinicioinicio.webp,2795,169,1254x1254
/viñetas/elMapa/comicinicionutri.png,/viñetas/elMapa/comicinicionutri.webp,2754,182,1254x1254
/viñetas/elMapa/comiciniciopsico.png,/viñetas/elMapa/comiciniciopsico.webp,2949,207,1254x1254
/viñetas/elMapa/comiciniciotcm.png,/viñetas/elMapa/comiciniciotcm.webp,2837,190,1254x1254
/recorrido/tcm/madera/madera1.png,/recorrido/tcm/madera/madera1.webp,2572,115,1254x1254
/recorrido/tcm/madera/madera2.png,/recorrido/tcm/madera/madera2.webp,2940,172,1254x1254
/recorrido/tcm/madera/madera3.png,/recorrido/tcm/madera/madera3.webp,2471,104,1254x1254
/recorrido/tcm/madera/madera4.png,/recorrido/tcm/madera/madera4.webp,2766,151,1254x1254
/recorrido/tcm/madera/madera5.png,/recorrido/tcm/madera/madera5.webp,2770,154,1254x1254
/viñetas/fisiologia/meditacion/1.png,/viñetas/fisiologia/meditacion/1.webp,2516,103,1254x1254
/viñetas/fisiologia/meditacion/2.png,/viñetas/fisiologia/meditacion/2.webp,2677,86,1254x1254
/viñetas/fisiologia/meditacion/3.png,/viñetas/fisiologia/meditacion/3.webp,2596,90,1254x1254
/viñetas/fisiologia/meditacion/4.png,/viñetas/fisiologia/meditacion/4.webp,2659,103,1254x1254
/viñetas/fisiologia/meditacion/5.png,/viñetas/fisiologia/meditacion/5.webp,2637,108,1254x1254
/viñetas/fisiologia/meditacion/6.png,/viñetas/fisiologia/meditacion/6.webp,2748,133,1254x1254
/recorrido/cultura/historiafilosofia/eras/grandes-ideas.png,/recorrido/cultura/historiafilosofia/eras/grandes-ideas.webp,3179,254,1254x1254
/recorrido/cultura/historiafilosofia/eras/que-conocer.png,/recorrido/cultura/historiafilosofia/eras/que-conocer.webp,3039,253,1254x1254
/recorrido/cultura/historiafilosofia/eras/razon-busca-dios.png,/recorrido/cultura/historiafilosofia/eras/razon-busca-dios.webp,2912,197,1254x1254
/recorrido/cultura/historiafilosofia/eras/revolucion-pensamiento.png,/recorrido/cultura/historiafilosofia/eras/revolucion-pensamiento.webp,2995,221,1214x1295
