png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/viñetas/nutricion/carbohidratos/carbohidratos1.png,/viñetas/nutricion/carbohidratos/carbohidratos1.webp,2997,210,1254x1254
/viñetas/nutricion/carbohidratos/carbohidratos3.png,/viñetas/nutricion/carbohidratos/carbohidratos3.webp,3095,246,1254x1254
/viñetas/nutricion/colesterol/colesterol1.png,/viñetas/nutricion/colesterol/colesterol1.webp,2332,75,1254x1254
/viñetas/nutricion/colesterol/colesterol2.png,/viñetas/nutricion/colesterol/colesterol2.webp,2872,165,1254x1254
/viñetas/nutricion/colesterol/colesterol3.png,/viñetas/nutricion/colesterol/colesterol3.webp,2489,106,1254x1254
/viñetas/nutricion/colesterol/colesterol4.png,/viñetas/nutricion/colesterol/colesterol4.webp,2416,88,1254x1254
/viñetas/nutricion/etanol/etanol1.png,/viñetas/nutricion/etanol/etanol1.webp,3129,238,1254x1254
/viñetas/nutricion/etanol/etanol2.png,/viñetas/nutricion/etanol/etanol2.webp,3110,229,1254x1254
/viñetas/nutricion/etanol/etanol3.png,/viñetas/nutricion/etanol/etanol3.webp,3112,237,1254x1254
/viñetas/nutricion/etanol/etanol4.png,/viñetas/nutricion/etanol/etanol4.webp,3250,265,1254x1254
/recorrido/nutricion/moleculas/marihuanadhc.png,/recorrido/nutricion/moleculas/marihuanadhc.webp,2527,97,1254x1254
