png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/img/fondos/cabala.png,/img/fondos/cabala.webp,419,106,1536x1024
/img/fondos/cabala2.png,/img/fondos/cabala2.webp,407,124,1536x1024
/img/fondos/cultura.png,/img/fondos/cultura.webp,373,92,1536x1024
/img/fondos/cultura2.png,/img/fondos/cultura2.webp,481,130,1536x1024
/img/fondos/fisio.png,/img/fondos/fisio.webp,279,72,1536x1024
/img/fondos/fisio2.png,/img/fondos/fisio2.webp,380,108,1535x1024
/img/fondos/hinduismo.png,/img/fondos/hinduismo.webp,419,91,1666x944
/img/fondos/kapha.png,/img/fondos/kapha.webp,490,154,1666x944
/img/fondos/nutri.png,/img/fondos/nutri.webp,313,77,1536x1024
/img/fondos/pitta.png,/img/fondos/pitta.webp,405,122,1668x943
/img/fondos/psciologia.png,/img/fondos/psciologia.webp,369,63,1536x1024
/img/fondos/psciologia2.png,/img/fondos/psciologia2.webp,463,116,1536x1024
/img/fondos/psciologia3.png,/img/fondos/psciologia3.webp,229,23,1536x1024
/img/fondos/tcm.png,/img/fondos/tcm.webp,227,42,1672x941
/img/fondos/vata.png,/img/fondos/vata.webp,371,114,1668x943
