png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/psicologia/familia/aguila.png,/recorrido/psicologia/familia/aguila.webp,3139,98,1254x1254
/recorrido/psicologia/familia/angel.png,/recorrido/psicologia/familia/angel.webp,2892,95,1254x1254
/recorrido/psicologia/familia/buho.png,/recorrido/psicologia/familia/buho.webp,3117,103,1254x1254
/recorrido/psicologia/familia/caballo.png,/recorrido/psicologia/familia/caballo.webp,2994,92,1254x1254
/recorrido/psicologia/familia/elefante.png,/recorrido/psicologia/familia/elefante.webp,3081,88,1295x1215
/recorrido/psicologia/familia/erizo.png,/recorrido/psicologia/familia/erizo.webp,3058,91,1341x1173
/recorrido/psicologia/familia/gato.png,/recorrido/psicologia/familia/gato.webp,3223,109,1254x1254
/recorrido/psicologia/familia/gigante.png,/recorrido/psicologia/familia/gigante.webp,2919,100,1254x1254
/recorrido/psicologia/familia/guerrero.png,/recorrido/psicologia/familia/guerrero.webp,2430,101,1122x1122
/recorrido/psicologia/familia/mago.png,/recorrido/psicologia/familia/mago.webp,2912,107,1254x1254
/recorrido/psicologia/familia/mariposa.png,/recorrido/psicologia/familia/mariposa.webp,3085,86,1354x1162
/recorrido/psicologia/familia/nina.png,/recorrido/psicologia/familia/nina.webp,2838,83,1254x1254
/recorrido/psicologia/familia/oveja.png,/recorrido/psicologia/familia/oveja.webp,2946,87,1254x1254
/recorrido/psicologia/familia/payaso.png,/recorrido/psicologia/familia/payaso.webp,3018,106,1254x1254
/recorrido/psicologia/familia/perro.png,/recorrido/psicologia/familia/perro.webp,3051,101,1254x1254
/recorrido/psicologia/familia/reina.png,/recorrido/psicologia/familia/reina.webp,2555,101,1121x1121
/recorrido/psicologia/familia/rey.png,/recorrido/psicologia/familia/rey.webp,2554,102,1119x1119
/recorrido/psicologia/familia/sabio.png,/recorrido/psicologia/familia/sabio.webp,2961,98,1254x1254
/recorrido/psicologia/familia/serpiente.png,/recorrido/psicologia/familia/serpiente.webp,3023,97,1254x1254
/recorrido/psicologia/familia/sombra.png,/recorrido/psicologia/familia/sombra.webp,2118,30,1254x1254
/recorrido/psicologia/familia/tortuga.png,/recorrido/psicologia/familia/tortuga.webp,3070,100,1254x1254
/recorrido/psicologia/familia/zorro.png,/recorrido/psicologia/familia/zorro.webp,3072,93,1254x1254
