png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/tcm/fuego/fuego1.png,/recorrido/tcm/fuego/fuego1.webp,2685,142,1254x1254
/recorrido/tcm/fuego/fuego2.png,/recorrido/tcm/fuego/fuego2.webp,2718,144,1254x1254
/recorrido/tcm/fuego/fuego3.png,/recorrido/tcm/fuego/fuego3.webp,2640,134,1254x1254
/recorrido/tcm/fuego/fuego4.png,/recorrido/tcm/fuego/fuego4.webp,2415,88,1254x1254
/recorrido/tcm/fuego/fuego5.png,/recorrido/tcm/fuego/fuego5.webp,2939,197,1254x1254
/recorrido/tcm/fuego/fuego6.png,/recorrido/tcm/fuego/fuego6.webp,2761,161,1254x1254
/recorrido/tcm/metal/metal1.png,/recorrido/tcm/metal/metal1.webp,2627,104,1254x1254
/recorrido/tcm/metal/metal2.png,/recorrido/tcm/metal/metal2.webp,2676,111,1254x1254
/recorrido/tcm/metal/metal3.png,/recorrido/tcm/metal/metal3.webp,2597,100,1254x1254
/recorrido/tcm/metal/metal4.png,/recorrido/tcm/metal/metal4.webp,2699,118,1254x1254
/recorrido/tcm/tierra/tierra1.png,/recorrido/tcm/tierra/tierra1.webp,2643,128,1254x1254
/recorrido/tcm/tierra/tierra2.png,/recorrido/tcm/tierra/tierra2.webp,2730,142,1254x1254
/recorrido/tcm/tierra/tierra3.png,/recorrido/tcm/tierra/tierra3.webp,2142,85,1122x1122
/recorrido/tcm/tierra/tierra4.png,/recorrido/tcm/tierra/tierra4.webp,2130,105,1122x1122
/recorrido/nutricion/alimentos/cacahuete.png,/recorrido/nutricion/alimentos/cacahuete.webp,2686,141,1254x1254
/recorrido/nutricion/alimentos/cafe.png,/recorrido/nutricion/alimentos/cafe.webp,2779,162,1254x1254
/recorrido/nutricion/alimentos/choco.png,/recorrido/nutricion/alimentos/choco.webp,2809,159,1254x1254
/recorrido/nutricion/alimentos/miel.png,/recorrido/nutricion/alimentos/miel.webp,2683,134,1254x1254
/recorrido/nutricion/alimentos/nueces.png,/recorrido/nutricion/alimentos/nueces.webp,2676,139,1254x1254
/recorrido/nutricion/portadas/carbs.png,/recorrido/nutricion/portadas/carbs.webp,2971,215,1254x1254
/viñetas/nutricion/edulcorantes/edulcorantes1.png,/viñetas/nutricion/edulcorantes/edulcorantes1.webp,3033,217,1254x1254
/viñetas/nutricion/edulcorantes/edulcorantes2.png,/viñetas/nutricion/edulcorantes/edulcorantes2.webp,2436,90,1254x1254
/viñetas/nutricion/edulcorantes/edulcorantes3.png,/viñetas/nutricion/edulcorantes/edulcorantes3.webp,2501,103,1254x1254
/viñetas/nutricion/edulcorantes/edulcorantes4.png,/viñetas/nutricion/edulcorantes/edulcorantes4.webp,2826,166,1254x1254
/viñetas/nutricion/edulcorantes/edulcorantes5.png,/viñetas/nutricion/edulcorantes/edulcorantes5.webp,3126,226,1254x1254
/viñetas/nutricion/edulcorantes/edulcorantes6.png,/viñetas/nutricion/edulcorantes/edulcorantes6.webp,3158,252,1254x1254
