png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/nutricion/moleculas/acetaldehido.png,/recorrido/nutricion/moleculas/acetaldehido.webp,2580,109,1254x1254
/recorrido/nutricion/moleculas/acetato.png,/recorrido/nutricion/moleculas/acetato.webp,2643,112,1254x1254
/recorrido/nutricion/moleculas/acetatoalcohol.png,/recorrido/nutricion/moleculas/acetatoalcohol.webp,2645,110,1254x1254
/recorrido/nutricion/moleculas/almidon.png,/recorrido/nutricion/moleculas/almidon.webp,2560,97,1254x1254
/recorrido/nutricion/moleculas/aminoacidocondicionalmente.png,/recorrido/nutricion/moleculas/aminoacidocondicionalmente.webp,2627,106,1254x1254
/recorrido/nutricion/moleculas/aminoacidoesencial.png,/recorrido/nutricion/moleculas/aminoacidoesencial.webp,2632,115,1254x1254
/recorrido/nutricion/moleculas/antocianinas.png,/recorrido/nutricion/moleculas/antocianinas.webp,2649,115,1254x1254
/recorrido/nutricion/moleculas/aspartamo.png,/recorrido/nutricion/moleculas/aspartamo.webp,2556,105,1254x1254
/recorrido/nutricion/moleculas/azucar.png,/recorrido/nutricion/moleculas/azucar.webp,2577,94,1254x1254
/recorrido/nutricion/moleculas/butirato.png,/recorrido/nutricion/moleculas/butirato.webp,2554,90,1254x1254
/recorrido/nutricion/moleculas/cafeina.png,/recorrido/nutricion/moleculas/cafeina.webp,2510,90,1254x1254
/recorrido/nutricion/moleculas/carotenoides.png,/recorrido/nutricion/moleculas/carotenoides.webp,2599,109,1254x1254
/recorrido/nutricion/moleculas/colesterol.png,/recorrido/nutricion/moleculas/colesterol.webp,2589,107,1254x1254
/recorrido/nutricion/moleculas/eritritol.png,/recorrido/nutricion/moleculas/eritritol.webp,2585,115,1254x1254
/recorrido/nutricion/moleculas/estevia.png,/recorrido/nutricion/moleculas/estevia.webp,2655,122,1254x1254
/recorrido/nutricion/moleculas/etanol.png,/recorrido/nutricion/moleculas/etanol.webp,2620,114,1254x1254
/recorrido/nutricion/moleculas/fibrafermentable.png,/recorrido/nutricion/moleculas/fibrafermentable.webp,2563,106,1254x1254
/recorrido/nutricion/moleculas/fibrainsoluble.png,/recorrido/nutricion/moleculas/fibrainsoluble.webp,2220,114,1122x1122
/recorrido/nutricion/moleculas/fibrasoluble.png,/recorrido/nutricion/moleculas/fibrasoluble.webp,2170,104,1122x1122
/recorrido/nutricion/moleculas/fitoesteroles.png,/recorrido/nutricion/moleculas/fitoesteroles.webp,2496,102,1254x1254
/recorrido/nutricion/moleculas/flavonoides.png,/recorrido/nutricion/moleculas/flavonoides.webp,2580,103,1254x1254
/recorrido/nutricion/moleculas/folato.png,/recorrido/nutricion/moleculas/folato.webp,2470,90,1254x1254
/recorrido/nutricion/moleculas/fructosa.png,/recorrido/nutricion/moleculas/fructosa.webp,2548,100,1254x1254
/recorrido/nutricion/moleculas/galactosa.png,/recorrido/nutricion/moleculas/galactosa.webp,2442,89,1254x1254
/recorrido/nutricion/moleculas/glucosa.png,/recorrido/nutricion/moleculas/glucosa.webp,2462,84,1254x1254
/recorrido/nutricion/moleculas/glucosinolatos.png,/recorrido/nutricion/moleculas/glucosinolatos.webp,2432,75,1254x1254
/recorrido/nutricion/moleculas/grasamonoinsaturada.png,/recorrido/nutricion/moleculas/grasamonoinsaturada.webp,2590,100,1254x1254
