png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/recorrido/cultura/historiageneral/arte-rupestre.png,/recorrido/cultura/historiageneral/arte-rupestre.webp,2881,203,1254x1254
/recorrido/cultura/historiageneral/comercio-atlantico.png,/recorrido/cultura/historiageneral/comercio-atlantico.webp,3280,308,1254x1254
/recorrido/cultura/historiageneral/covid-19.png,/recorrido/cultura/historiageneral/covid-19.webp,2827,181,1254x1254
/recorrido/cultura/historiageneral/descolonizacion.png,/recorrido/cultura/historiageneral/descolonizacion.webp,3093,239,1254x1254
/recorrido/cultura/historiageneral/descubrimiento-america.png,/recorrido/cultura/historiageneral/descubrimiento-america.webp,3080,265,1254x1254
/recorrido/cultura/historiageneral/dinastia-han.png,/recorrido/cultura/historiageneral/dinastia-han.webp,3057,253,1254x1254
/recorrido/cultura/historiageneral/dinastia-tang.png,/recorrido/cultura/historiageneral/dinastia-tang.webp,3089,261,1254x1254
/recorrido/cultura/historiageneral/era-vikinga.png,/recorrido/cultura/historiageneral/era-vikinga.webp,3136,240,1254x1254
/recorrido/cultura/historiageneral/expansion-cristianismo.png,/recorrido/cultura/historiageneral/expansion-cristianismo.webp,3048,251,1254x1254
/recorrido/cultura/historiageneral/expansion-islamica.png,/recorrido/cultura/historiageneral/expansion-islamica.webp,3286,301,1254x1254
/recorrido/cultura/historiageneral/ferrocarril.png,/recorrido/cultura/historiageneral/ferrocarril.webp,3317,295,1254x1254
/recorrido/cultura/historiageneral/feudalismo.png,/recorrido/cultura/historiageneral/feudalismo.webp,3321,315,1254x1254
/recorrido/cultura/historiageneral/fundacion-onu.png,/recorrido/cultura/historiageneral/fundacion-onu.webp,3283,293,1254x1254
/recorrido/cultura/historiageneral/fundacion-roma.png,/recorrido/cultura/historiageneral/fundacion-roma.webp,3181,273,1254x1254
/recorrido/cultura/historiageneral/guerra-cien-anos.png,/recorrido/cultura/historiageneral/guerra-cien-anos.webp,3574,357,1254x1254
/recorrido/cultura/historiageneral/homo-sapiens.png,/recorrido/cultura/historiageneral/homo-sapiens.webp,3091,246,1254x1254
/recorrido/cultura/historiageneral/imperio-bizantino.png,/recorrido/cultura/historiageneral/imperio-bizantino.webp,3432,330,1254x1254
/recorrido/cultura/historiageneral/invencion-escritura.png,/recorrido/cultura/historiageneral/invencion-escritura.webp,3097,242,1254x1254
