png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/cursos/astro/ascendentes.png,/cursos/astro/ascendentes.webp,172,34,1672x941
/cursos/astro/elementos.png,/cursos/astro/elementos.webp,228,46,1672x941
/cursos/astro/jupiter.png,/cursos/astro/jupiter.webp,292,52,1672x941
/cursos/astro/lilithcurso.png,/cursos/astro/lilithcurso.webp,123,24,1672x941
/cursos/astro/luna.png,/cursos/astro/luna.webp,241,47,1672x941
/cursos/astro/marte.png,/cursos/astro/marte.webp,226,46,1672x941
/cursos/astro/mercurio.png,/cursos/astro/mercurio.webp,229,46,1672x941
/cursos/astro/nodos.png,/cursos/astro/nodos.webp,287,53,1672x941
/cursos/astro/pluton.png,/cursos/astro/pluton.webp,257,53,1672x941
/cursos/astro/quiron.png,/cursos/astro/quiron.webp,224,46,1672x941
/cursos/astro/saturno.png,/cursos/astro/saturno.webp,299,57,1672x941
/cursos/astro/sol.png,/cursos/astro/sol.webp,316,63,1672x941
/cursos/astro/urano.png,/cursos/astro/urano.webp,274,55,1672x941
/cursos/astro/venus.png,/cursos/astro/venus.webp,191,41,1672x941
/cursos/cabala/arbol.png,/cursos/cabala/arbol.webp,215,48,1672x941
/cursos/cabala/intro.png,/cursos/cabala/intro.webp,230,49,1659x948
/cursos/cabala/mal.png,/cursos/cabala/mal.webp,239,49,1672x941
/cursos/hinduismo/ayurvedaIntro.png,/cursos/hinduismo/ayurvedaIntro.webp,307,62,1672x941
/cursos/hinduismo/kapha.png,/cursos/hinduismo/kapha.webp,145,42,1435x807
/cursos/hinduismo/pitta.png,/cursos/hinduismo/pitta.webp,321,78,1672x941
/cursos/hinduismo/vata.png,/cursos/hinduismo/vata.webp,238,55,1672x941
/cursos/nutricion/cocinaquenutre.png,/cursos/nutricion/cocinaquenutre.webp,2155,57,1672x941
/cursos/psicologia/autoestima.png,/cursos/psicologia/autoestima.webp,177,39,1672x941
/cursos/psicologia/elduelo.png,/cursos/psicologia/elduelo.webp,2200,51,1672x941
/cursos/psicologia/emdr2.png,/cursos/psicologia/emdr2.webp,212,48,1672x941
/cursos/psicologia/emdr3.png,/cursos/psicologia/emdr3.webp,232,46,1672x941
/cursos/psicologia/emdrIntro.png,/cursos/psicologia/emdrIntro.webp,232,44,1672x941
/cursos/psicologia/neurobiologiainterpersonal.png,/cursos/psicologia/neurobiologiainterpersonal.webp,1927,42,1672x941
/cursos/psicologia/pareja.png,/cursos/psicologia/pareja.webp,142,30,1672x941
/cursos/psicologia/psicosomatica.png,/cursos/psicologia/psicosomatica.webp,191,40,1672x941
/cursos/psicologia/psicoterapiabreve.png,/cursos/psicologia/psicoterapiabreve.webp,1893,40,1672x941
/cursos/psicologia/trauma.png,/cursos/psicologia/trauma.webp,2064,37,1672x941
/cursos/psicologia/vinculo.png,/cursos/psicologia/vinculo.webp,203,42,1672x941
/cursos/tcm/ciclo.png,/cursos/tcm/ciclo.webp,209,48,1672x941
/cursos/tcm/cincoelementos.png,/cursos/tcm/cincoelementos.webp,242,52,1672x941
/cursos/tcm/diagnostico.png,/cursos/tcm/diagnostico.webp,264,51,1672x941
