png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/viñetas/nutricion/biologia/tierra/tierra.png,/viñetas/nutricion/biologia/tierra/tierra.webp,3106,230,1254x1254
/viñetas/nutricion/biologia/tierra/tierra1.png,/viñetas/nutricion/biologia/tierra/tierra1.webp,3058,220,1254x1254
/viñetas/nutricion/biologia/tierra/tierra2.png,/viñetas/nutricion/biologia/tierra/tierra2.webp,3330,299,1254x1254
/viñetas/nutricion/biologia/tierra/tierra3.png,/viñetas/nutricion/biologia/tierra/tierra3.webp,3185,252,1254x1254
/viñetas/nutricion/biologia/tierra/tierra4.png,/viñetas/nutricion/biologia/tierra/tierra4.webp,3204,270,1254x1254
/viñetas/nutricion/biologia/tierra/tierra5.png,/viñetas/nutricion/biologia/tierra/tierra5.webp,3419,316,1254x1254
/viñetas/nutricion/biologia/tierra/tierra6.png,/viñetas/nutricion/biologia/tierra/tierra6.webp,3225,259,1254x1254
/viñetas/nutricion/biologia/planta/planta.png,/viñetas/nutricion/biologia/planta/planta.webp,3143,245,1254x1254
/viñetas/nutricion/biologia/planta/planta1.png,/viñetas/nutricion/biologia/planta/planta1.webp,3149,249,1254x1254
/viñetas/nutricion/biologia/planta/planta2.png,/viñetas/nutricion/biologia/planta/planta2.webp,3164,255,1254x1254
/viñetas/nutricion/biologia/planta/planta3.png,/viñetas/nutricion/biologia/planta/planta3.webp,3115,231,1254x1254
/viñetas/nutricion/biologia/planta/planta4.png,/viñetas/nutricion/biologia/planta/planta4.webp,3109,230,1254x1254
/viñetas/nutricion/biologia/hoja/hoja.png,/viñetas/nutricion/biologia/hoja/hoja.webp,2980,211,1254x1254
/viñetas/nutricion/biologia/hoja/hoja1.png,/viñetas/nutricion/biologia/hoja/hoja1.webp,3330,281,1254x1254
/viñetas/nutricion/biologia/hoja/hoja2.png,/viñetas/nutricion/biologia/hoja/hoja2.webp,3199,249,1254x1254
/viñetas/nutricion/biologia/hoja/hoja3.png,/viñetas/nutricion/biologia/hoja/hoja3.webp,3117,234,1254x1254
/viñetas/nutricion/biologia/hoja/hoja4.png,/viñetas/nutricion/biologia/hoja/hoja4.webp,3308,268,1254x1254
/viñetas/nutricion/biologia/fruta/fruta.png,/viñetas/nutricion/biologia/fruta/fruta.webp,3287,291,1254x1254
/viñetas/nutricion/biologia/fruta/fruta1.png,/viñetas/nutricion/biologia/fruta/fruta1.webp,3094,226,1254x1254
/viñetas/nutricion/biologia/fruta/fruta2.png,/viñetas/nutricion/biologia/fruta/fruta2.webp,3168,249,1254x1254
/viñetas/nutricion/biologia/fruta/fruta3.png,/viñetas/nutricion/biologia/fruta/fruta3.webp,3209,257,1254x1254
/viñetas/nutricion/biologia/fruta/fruta4.png,/viñetas/nutricion/biologia/fruta/fruta4.webp,3368,286,1254x1254
/viñetas/nutricion/biologia/animal/animal.png,/viñetas/nutricion/biologia/animal/animal.webp,2970,200,1254x1254
/viñetas/nutricion/biologia/animal/animal1.png,/viñetas/nutricion/biologia/animal/animal1.webp,3114,215,1254x1254
/viñetas/nutricion/biologia/animal/animal2.png,/viñetas/nutricion/biologia/animal/animal2.webp,3308,258,1254x1254
/viñetas/nutricion/biologia/animal/animal3.png,/viñetas/nutricion/biologia/animal/animal3.webp,3350,281,1254x1254
/viñetas/nutricion/biologia/animal/animal4.png,/viñetas/nutricion/biologia/animal/animal4.webp,3234,253,1254x1254
