png_original,webp_nuevo,kB_antes,kB_despues,dimension_original
/viñetas/hinduismo/chakras/botones/1.png,/viñetas/hinduismo/chakras/botones/1.webp,3011,83,1254x1254
/viñetas/hinduismo/chakras/botones/2.png,/viñetas/hinduismo/chakras/botones/2.webp,2889,76,1254x1254
/viñetas/hinduismo/chakras/botones/3.png,/viñetas/hinduismo/chakras/botones/3.webp,2704,52,1254x1254
/viñetas/hinduismo/chakras/botones/4.png,/viñetas/hinduismo/chakras/botones/4.webp,2794,54,1254x1254
/viñetas/hinduismo/chakras/botones/5.png,/viñetas/hinduismo/chakras/botones/5.webp,2932,60,1254x1254
/viñetas/hinduismo/chakras/botones/6.png,/viñetas/hinduismo/chakras/botones/6.webp,2915,58,1254x1254
/viñetas/hinduismo/chakras/botones/7.png,/viñetas/hinduismo/chakras/botones/7.webp,2779,55,1254x1254
