ruta,bytes_antes,bytes_despues,medidas_antes,medidas_despues
recorrido/cultura/historiaciencia/teoria-celular.webp,226118,115740,1000x1000,900x900
recorrido/cultura/historiaciencia/termodinamica.webp,293744,153954,1000x1000,900x900
recorrido/cultura/historiafilosofia/avicena.webp,206918,107886,1000x1000,900x900
recorrido/cultura/historiafilosofia/busqueda-no-termina.webp,223514,120402,1000x1000,900x900
recorrido/cultura/historiafilosofia/diogenes-cinismo.webp,215468,115330,1000x1000,900x900
recorrido/cultura/historiafilosofia/egipto-mesopotamia.webp,218194,112064,1000x1000,900x900
recorrido/cultura/historiafilosofia/empedocles.webp,216566,117222,1000x1000,900x900
recorrido/cultura/historiafilosofia/eras/antes-filosofia.webp,255992,129118,1000x1000,900x900
recorrido/cultura/historiafilosofia/eras/buena-vida.webp,250084,119958,1000x1000,900x900
recorrido/cultura/historiafilosofia/eras/grandes-ideas.webp,260088,140578,1000x1000,900x900
recorrido/cultura/historiafilosofia/eras/grecia-razon.webp,263052,131782,1000x1000,900x900
recorrido/cultura/historiafilosofia/eras/hombre-centro.webp,255152,128314,1000x1000,900x900
recorrido/cultura/historiafilosofia/eras/primeros-sabios.webp,249036,121864,1000x1000,900x900
recorrido/cultura/historiafilosofia/eras/que-conocer.webp,258600,138328,1000x1000,900x900
recorrido/cultura/historiafilosofia/eras/revolucion-pensamiento.webp,225934,120374,937x1000,843x900
recorrido/cultura/historiafilosofia/etica-ia.webp,216788,114508,1000x1000,900x900
recorrido/cultura/historiafilosofia/legado-tres-gigantes.webp,217154,113934,1000x1000,900x900
recorrido/cultura/historiafilosofia/montesquieu.webp,207744,104060,1000x1000,900x900
recorrido/cultura/historiafilosofia/neoplatonismo.webp,206594,103948,1000x1000,900x900
recorrido/cultura/historiafilosofia/pascal.webp,206170,98744,1000x1000,900x900
recorrido/cultura/historiafilosofia/rousseau.webp,259320,141386,1000x1000,900x900
recorrido/cultura/historiafilosofia/sabios-china.webp,206328,110186,1000x1000,900x900
recorrido/cultura/historiafilosofia/vedas-upanishads.webp,208120,109680,1000x1000,900x900
recorrido/cultura/historiageneral/alejandro-magno.webp,306610,169482,1000x1000,900x900
recorrido/cultura/historiageneral/arte-rupestre.webp,207866,102308,1000x1000,900x900
recorrido/cultura/historiageneral/atentados-11s.webp,308938,165178,1000x1000,900x900
recorrido/cultura/historiageneral/avion.webp,315602,165770,1000x1000,900x900
recorrido/cultura/historiageneral/bomba-atomica.webp,229396,122614,1000x1000,900x900
recorrido/cultura/historiageneral/caida-constantinopla.webp,234906,121486,1000x1000,900x900
recorrido/cultura/historiageneral/caida-muro-berlin.webp,224714,112714,1000x1000,900x900
recorrido/cultura/historiageneral/caida-roma-occidente.webp,289944,157826,1000x1000,900x900
recorrido/cultura/historiageneral/carlomagno.webp,337922,197298,1000x1000,900x900
